Timestamp,Texture1,Texture2,Texture3,Texture4,Texture5,Texture6,Texture7,Texture8
2023-09-20 10:36:35.991,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00
2023-09-20 10:36:36.192,0.00,0.87,0.00,0.00,0.13,0.00,0.00,0.00
2023-09-20 10:36:36.393,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:36.599,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:36.800,0.00,0.06,0.00,0.00,0.94,0.00,0.00,0.00
2023-09-20 10:36:37.002,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
2023-09-20 10:36:37.203,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:37.403,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:37.604,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:37.804,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:38.006,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:38.208,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:38.410,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:38.610,0.00,0.02,0.00,0.00,0.98,0.00,0.00,0.00
2023-09-20 10:36:53.357,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:53.563,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:53.768,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:53.976,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:54.183,0.00,0.65,0.00,0.00,0.35,0.00,0.00,0.00
2023-09-20 10:36:54.383,0.00,0.91,0.00,0.00,0.09,0.00,0.00,0.00
2023-09-20 10:36:54.587,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:54.788,0.00,0.76,0.00,0.00,0.24,0.00,0.00,0.00
2023-09-20 10:36:55.009,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:55.208,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:55.411,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:55.612,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:55.818,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:56.023,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:56.224,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:56.426,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
2023-09-20 10:36:56.629,0.00,0.70,0.00,0.00,0.30,0.00,0.00,0.00
